statecensus,co_type,value
Alabama,child_0_2_parents_co,64002.83322998905
Alabama,child_0_2_parents_co_nwa,31307.69464241431
Alabama,child_0_2_parents_co_sib,28296.211071670492
Alabama,child_0_2_parents_co_ptw,23152.921353682876
Alabama,child_0_2_parent_essential_co,20409.426232880887
Alabama,child_0_2_parent_essential_co_nwa,15574.350964054978
Alabama,child_0_2_parent_essential_co_sib,14001.777429018288
Alabama,child_0_2_parent_essential_co_ptw,11223.717598681416
Alabama,child_0_2_parent_hospital_co,2756.7508643092738
Alabama,child_0_2_parent_hospital_co_nwa,2101.480991376675
Alabama,child_0_2_parent_hospital_co_sib,1875.9026585805816
Alabama,child_0_2_parent_hospital_co_ptw,1588.214968927833
Alabama,child_0_2_parent_hospitals_plus_co,3162.496026810353
Alabama,child_0_2_parent_hospitals_plus_co_nwa,2368.0389546070724
Alabama,child_0_2_parent_hospitals_plus_co_sib,2047.9361186413853
Alabama,child_0_2_parent_hospitals_plus_co_ptw,1699.921289609929
Alabama,child_0_2_parent_nursing_facilities_co,857.0289995396132
Alabama,child_0_2_parent_nursing_facilities_co_nwa,793.3707545259266
Alabama,child_0_2_parent_nursing_facilities_co_sib,639.5823341934644
Alabama,child_0_2_parent_nursing_facilities_co_ptw,516.6679227926563
Alabama,child_0_2_parent_all_co,4019.525026349966
Alabama,child_0_2_parent_all_co_nwa,3161.409709132999
Alabama,child_0_2_parent_all_co_sib,2687.518452834849
Alabama,child_0_2_parent_all_co_ptw,2216.589212402586
Alabama,child_3_5_parents_co,64902.164165634174
Alabama,child_3_5_parents_co_nwa,33912.359070670165
Alabama,child_3_5_parents_co_sib,28505.96973732416
Alabama,child_3_5_parents_co_ptw,22960.868576234843
Alabama,child_3_5_parent_essential_co,22745.824819498197
Alabama,child_3_5_parent_essential_co_nwa,18253.737512130196
Alabama,child_3_5_parent_essential_co_sib,15051.167525188308
Alabama,child_3_5_parent_essential_co_ptw,12700.082378532035
Alabama,child_3_5_parent_hospital_co,4332.010101464232
Alabama,child_3_5_parent_hospital_co_nwa,3564.940143171768
Alabama,child_3_5_parent_hospital_co_sib,3048.2110990567166
Alabama,child_3_5_parent_hospital_co_ptw,2576.328283942259
Alabama,child_3_5_parent_hospitals_plus_co,5493.465946765596
Alabama,child_3_5_parent_hospitals_plus_co_nwa,4399.0798268931785
Alabama,child_3_5_parent_hospitals_plus_co_sib,3725.245202575954
Alabama,child_3_5_parent_hospitals_plus_co_ptw,2989.0219754720397
