statecensus,child_0_2_parents_co,child_0_2_parents_co_nwa,child_0_2_parents_co_sib,child_0_2_parents_co_ptw,child_0_2_parent_essential_co,child_0_2_parent_essential_co_nwa,child_0_2_parent_essential_co_sib,child_0_2_parent_essential_co_ptw,child_0_2_parent_hospital_co,child_0_2_parent_hospital_co_nwa,child_0_2_parent_hospital_co_sib,child_0_2_parent_hospital_co_ptw,child_0_2_parent_hospitals_plus_co,child_0_2_parent_hospitals_plus_co_nwa,child_0_2_parent_hospitals_plus_co_sib,child_0_2_parent_hospitals_plus_co_ptw,child_0_2_parent_nursing_facilities_co,child_0_2_parent_nursing_facilities_co_nwa,child_0_2_parent_nursing_facilities_co_sib,child_0_2_parent_nursing_facilities_co_ptw,child_0_2_parent_all_co,child_0_2_parent_all_co_nwa,child_0_2_parent_all_co_sib,child_0_2_parent_all_co_ptw,child_3_5_parents_co,child_3_5_parents_co_nwa,child_3_5_parents_co_sib,child_3_5_parents_co_ptw,child_3_5_parent_essential_co,child_3_5_parent_essential_co_nwa,child_3_5_parent_essential_co_sib,child_3_5_parent_essential_co_ptw,child_3_5_parent_hospital_co,child_3_5_parent_hospital_co_nwa,child_3_5_parent_hospital_co_sib,child_3_5_parent_hospital_co_ptw,child_3_5_parent_hospitals_plus_co,child_3_5_parent_hospitals_plus_co_nwa,child_3_5_parent_hospitals_plus_co_sib,child_3_5_parent_hospitals_plus_co_ptw,child_3_5_parent_nursing_facilities_co,child_3_5_parent_nursing_facilities_co_nwa,child_3_5_parent_nursing_facilities_co_sib,child_3_5_parent_nursing_facilities_co_ptw,child_3_5_parent_all_co,child_3_5_parent_all_co_nwa,child_3_5_parent_all_co_sib,child_3_5_parent_all_co_ptw,child_6_11_parents_co,child_6_11_parents_co_nwa,child_6_11_parents_co_sib,child_6_11_parents_co_ptw,child_6_11_parent_essential_co,child_6_11_parent_essential_co_nwa,child_6_11_parent_essential_co_sib,child_6_11_parent_essential_co_ptw,child_6_11_parent_hospital_co,child_6_11_parent_hospital_co_nwa,child_6_11_parent_hospital_co_sib,child_6_11_parent_hospital_co_ptw,child_6_11_parent_hospitals_plus_co,child_6_11_parent_hospitals_plus_co_nwa,child_6_11_parent_hospitals_plus_co_sib,child_6_11_parent_hospitals_plus_co_ptw,child_6_11_parent_nursing_facilities_co,child_6_11_parent_nursing_facilities_co_nwa,child_6_11_parent_nursing_facilities_co_sib,child_6_11_parent_nursing_facilities_co_ptw,child_6_11_parent_all_co,child_6_11_parent_all_co_nwa,child_6_11_parent_all_co_sib,child_6_11_parent_all_co_ptw,child_12_17_parents_co,child_12_17_parents_co_nwa,child_12_17_parents_co_sib,child_12_17_parents_co_ptw,child_12_17_parent_essential_co,child_12_17_parent_essential_co_nwa,child_12_17_parent_essential_co_sib,child_12_17_parent_essential_co_ptw,child_12_17_parent_hospital_co,child_12_17_parent_hospital_co_nwa,child_12_17_parent_hospital_co_sib,child_12_17_parent_hospital_co_ptw,child_12_17_parent_hospitals_plus_co,child_12_17_parent_hospitals_plus_co_nwa,child_12_17_parent_hospitals_plus_co_sib,child_12_17_parent_hospitals_plus_co_ptw,child_12_17_parent_nursing_facilities_co,child_12_17_parent_nursing_facilities_co_nwa,child_12_17_parent_nursing_facilities_co_sib,child_12_17_parent_nursing_facilities_co_ptw,child_12_17_parent_all_co,child_12_17_parent_all_co_nwa,child_12_17_parent_all_co_sib,child_12_17_parent_all_co_ptw,child_any_parents_co,child_any_parents_co_nwa,child_any_parents_co_sib,child_any_parents_co_ptw,child_any_parent_essential_co,child_any_parent_essential_co_nwa,child_any_parent_essential_co_sib,child_any_parent_essential_co_ptw,child_any_parent_hospital_co,child_any_parent_hospital_co_nwa,child_any_parent_hospital_co_sib,child_any_parent_hospital_co_ptw,child_any_parent_hospitals_plus_co,child_any_parent_hospitals_plus_co_nwa,child_any_parent_hospitals_plus_co_sib,child_any_parent_hospitals_plus_co_ptw,child_any_parent_nursing_facilities_co,child_any_parent_nursing_facilities_co_nwa,child_any_parent_nursing_facilities_co_sib,child_any_parent_nursing_facilities_co_ptw,child_any_parent_all_co,child_any_parent_all_co_nwa,child_any_parent_all_co_sib,child_any_parent_all_co_ptw
Alabama,64002.83322998905,31307.69464241431,28296.211071670492,23152.921353682876,20409.426232880887,15574.350964054978,14001.777429018288,11223.717598681416,2756.7508643092738,2101.480991376675,1875.9026585805816,1588.214968927833,3162.496026810353,2368.0389546070724,2047.9361186413853,1699.921289609929,857.0289995396132,793.3707545259266,639.5823341934644,516.6679227926563,4019.525026349966,3161.409709132999,2687.518452834849,2216.589212402586,64902.164165634174,33912.359070670165,28505.96973732416,22960.868576234843,22745.824819498197,18253.737512130196,15051.167525188308,12700.082378532035,4332.010101464232,3564.940143171768,3048.2110990567166,2576.328283942259,5493.465946765596,4399.0798268931785,3725.245202575954,2989.0219754720397,1252.6692741869776,1161.1787568783914,818.7662480855244,629.722843863857,6746.135220952574,5560.258583771569,4544.011450661477,3618.744819335896,136700.1852953735,73000.1610857314,50900.28796671479,39115.1445943902,49435.05638264531,37934.62520652616,24926.532049268957,20475.19781076487,5561.1006333580435,4273.76249883847,2658.2651178386755,2407.940586878581,8705.161974603874,6925.42561610393,4434.969375279643,3356.6874826078197,2111.584214040375,1319.9837181929918,974.1927206625968,654.261614053856,10816.746188644249,8245.409334296923,5409.162095942239,4010.949096661676,140199.1020807132,79361.57006628742,11475.948126243924,9236.352490116446,53911.947193285356,43850.299890998715,5893.262849422403,4879.730498922875,5447.451516983079,4810.192227437999,582.4467679841753,450.29914180516556,8075.570126492321,6854.226928952984,1105.786031632047,793.6428530099306,2306.876702324741,2069.8289742967645,187.9868580502421,147.70893949279196,10382.446828817063,8924.05590324975,1293.7728896822894,941.3517925027226,405804.2847717099,217581.78486510328,119178.41690195337,94465.28701442435,146502.25462830975,115613.01357371006,59872.73985289795,49278.7282869012,18097.313116114627,14750.37586082491,8164.825643460149,7022.782981553838,25436.694074672145,20546.771326557166,11313.936728129027,8839.273600699718,6528.159190091707,5344.362203894074,2620.5281609918275,1948.3613202031613,31964.853264763853,25891.133530451243,13934.464889120856,10787.63492090288
Alaska,11378.447009847083,4917.55061632441,4325.359779811871,2897.7134674543145,3700.940328032363,2569.915237387153,2243.332396530077,1692.2845214591455,526.08573554842,434.9107854231913,344.68909785758404,267.3990909290662,653.160652357643,540.836641908215,450.61495434260775,354.66817537679174,111.38572816442658,80.93194159748772,59.54930096721137,59.54930096721137,764.5463805220696,621.7685835057028,510.1642553098191,414.2174763440031,13284.786065423319,6412.454777142894,5517.709461068224,3863.054662241145,4953.359719944347,3479.2447911943254,2836.747405928921,2237.005910091497,525.0436540058176,387.68184568309516,357.83256411810197,283.1630972852421,862.7713871961104,685.5177430675825,629.125668111297,465.15995794592175,94.0992401862138,34.32121933711474,34.32121933711474,25.774560793309053,956.8706273823242,719.8389624046972,663.4468874484119,490.93451873923084,24784.2382924213,12607.325970902844,9285.78962948689,6471.518614887696,10133.774317586714,7245.969749143522,5057.601765245807,3776.8327964874406,867.7847321396347,648.8963211451195,430.09673235134363,286.14046507685254,1563.343672358389,1251.8108928673203,783.2239553679636,468.9969483075247,118.93837365073598,107.98907920245722,69.73092833856033,29.40016533797502,1682.282046009125,1359.7999720697776,852.9548837065239,498.3971136454997,23978.518830629342,12925.29893391519,1853.3953622894987,1196.9524965281546,10608.601035000112,7603.784223023429,1070.4992410046718,795.5419467159556,1069.6963217746759,826.8660476598882,157.2564979016883,120.0441418736837,1886.2148545467956,1358.254450492559,193.54377008555127,146.12229415771458,207.59454127014973,162.32914935182237,14.92886771048449,14.92886771048449,2093.809395816945,1520.5835998443815,208.47263779603574,161.05116186819902,73425.99019832104,36862.630298285345,20982.254232656484,14429.239241111309,29396.675400563538,20898.91400074843,11208.180808709476,8501.665174754038,2988.610443468548,2298.3549999112943,1289.874892228718,956.7467951648445,4965.490566458937,3836.4197283356775,2056.5083479074196,1434.947375787953,532.0178832715261,385.57138948888206,178.53031635337092,129.65289480897994,5497.508449730463,4221.991117824559,2235.0386642607905,1564.6002705969327
Arizona,82425.77276295342,35000.96991417662,30502.93598560786,19039.45010443362,25977.310998377827,15588.180983332135,13138.39222221386,9068.738621332754,2174.665871324719,1458.85801699766,1165.6424314467272,730.1285970573041,4518.6216662098695,2882.3301975440627,2341.082211066788,1500.6784533547839,1232.0307908857112,1046.6434529238334,757.253433887448,587.1509523014827,5750.652457095581,3928.973650467897,3098.3356449542366,2087.8294056562663,110960.77006848971,57021.56100530256,45555.229970815046,31822.61806870728,35485.121309544236,23977.7254713598,19605.91416547521,15137.98584993887,1995.7193427381424,1228.129177476044,923.190264869183,480.98534948068783,4559.285895175377,3491.132927013142,2710.1346597928846,2111.3069084187046,1492.8450922272516,1215.8163305194275,1181.5167039506164,621.3142537055016,6052.130987402629,4706.949257532569,3891.6513637435005,2732.6211621242073,241078.9554522768,131249.95503237227,90789.63292820225,62563.01232569032,93247.86717027545,67643.38770259477,46249.08936501125,35354.00589202037,9875.00757250099,7449.485480675394,4706.734790711885,3251.964042135115,16657.31571534976,13297.018783758178,8908.817227339152,6839.947917332512,3029.5525669055282,2351.3997477076455,1652.452168332227,1045.7813558975672,19686.868282255284,15648.418531465824,10561.269395671377,7885.729273230078,252525.53884392144,128620.02078735434,19215.900651550997,13309.219873136024,92741.3450628111,62082.02003067794,8358.422118820781,6396.666813770368,9460.25425812108,6798.5780701313515,1045.4252795482207,964.6328462831048,15217.782758604442,11616.254414453235,1736.0600461509855,1596.2534235455878,2730.366457034936,2289.4698717881242,953.7409333174229,726.0270739663315,17948.14921563938,13905.724286241359,2689.8009794684085,2322.2804975119193,686991.0371276414,351892.50673920574,186063.69953617614,126734.30037196723,247451.6445410086,169291.31418796463,87351.8178715211,65957.39717706236,23505.64704468493,16935.050745280452,7840.992766576015,5427.710834956212,40953.00603533945,31286.73632276862,15696.09414434981,12048.186702651588,8484.794907053427,6903.329402939031,4544.963239487714,2980.273635870883,49437.800942392874,38190.06572570765,20241.057383837524,15028.460338522471
Arkansas,36876.54153539549,19698.642911643597,17547.4422673327,12883.42970990394,15098.685550763885,11352.069696121323,10093.860393477798,7912.59628716173,2154.8818670065084,1715.0889721151038,1570.003899880242,995.5649446042223,2973.632850850227,2469.37732602615,2291.992668447647,1672.7217653876246,794.7488987645474,685.8566880707629,611.6611109874858,314.0955543864306,3768.3817496147744,3155.234014096913,2903.653779435133,1986.8173197740552,43793.71567322567,24876.405621787162,21846.24931329289,16166.407937792403,17359.520387892837,13702.70853967593,12122.574923717515,9392.82325000956,2407.265036987077,1757.6773225121217,1508.1806821967339,1219.2693900053714,3050.4731414397693,2233.3782550302367,1974.1625409299459,1642.4327682770227,1073.2237396369758,1073.2237396369758,1073.2237396369758,759.7656135528547,4123.696881076746,3306.6019946672127,3047.386280566922,2402.1983818298777,85820.96173619271,49732.335193525745,36807.574370188384,27176.92995885072,35665.60569420289,27084.762687404516,19873.43623028468,15497.223042861231,3953.3538664130597,2882.536228206444,2233.5350740988106,1752.6491565730219,5626.1651417973,4223.029061329751,3152.2481731427756,2525.751468414407,2148.834548467321,1815.4816153560494,1497.0149154597952,1105.0088890608229,7774.999690264621,6038.510676685802,4649.263088602571,3630.7603574752297,92113.12498858082,54049.259054756454,7175.325529241222,5299.570618063609,38023.148261108196,29886.48770431177,4071.8163191041704,3117.7642027993234,3888.278276013587,3220.8876353904084,294.96835651655726,255.4375170128198,5815.134864980772,4610.764221248721,489.4490445575129,381.0682692237363,1351.552571500456,931.2541510411122,305.3970691263386,230.41137144743368,7166.687436481227,5542.018372289833,794.8461136838515,611.47964067117,258604.34393339464,148356.64278171293,83376.5914800552,61526.33822461066,106146.9598939678,82026.02862751353,46161.687866584165,35920.40678283185,12403.779046420233,9576.190158224077,5606.688012692343,4222.921008195436,17465.40599906807,13536.54886363486,7907.852427077881,6221.97427130279,5368.359758369301,4505.8161941049,3487.2968352105954,2409.2814284475417,22833.76575743737,18042.36505773976,11395.149262288478,8631.255699750332
California,454626.66328478,203504.53395759314,177248.36733926166,127217.9180296908,151813.01944683315,95441.175031255,83594.19066634902,62452.04339539113,13777.277174024512,9792.740455002793,8412.875071959947,5247.161399287622,21923.352364431314,15866.644170287776,13768.916058674822,9197.755015358307,4844.125253978343,2888.1130332291373,2307.237261816095,1753.759984721185,26767.47761840966,18754.75720351691,16076.15332049092,10951.515000079493,528576.2781048111,245934.53594013196,210501.84121238845,147083.28670475446,192894.2241995233,124571.62563127931,106681.21922516364,75646.65174472296,16659.271487458154,12928.594890365373,11317.00047664713,7534.275016746494,26092.648236123845,19944.0363982689,17215.609123384056,11703.224124282731,4828.399538948121,3459.8112659345793,2764.0648237112327,2047.8771282795462,30921.047775071966,23403.847664203484,19979.67394709529,13751.101252562277,1161084.8358465186,556549.916815457,388298.417932559,276022.1414001899,433210.708877539,289730.4156186841,201473.37705534944,147502.64254883007,37695.31104307037,28203.88438683794,19372.58086499708,15048.276840592485,61520.17232362697,45150.815465677326,31496.521371628533,23893.67582586996,8599.449104770632,6100.645228591381,4075.890813828321,3657.072508373941,70119.6214283976,51251.46069426871,35572.41218545686,27550.7483342439,1196461.255725465,584769.6367112669,73028.59679875462,49377.482897204085,439837.5206235055,299914.04256790096,36974.871831149314,24712.961995349055,36003.996904254855,28093.39618000292,4179.742555483444,2982.709914244741,56967.69106736531,42348.40276712464,5927.441912211914,3755.219075749429,10502.250511621469,6989.407682655925,947.2952779978453,612.7707550005268,67469.94157898678,49337.81044978056,6874.737190209759,4367.989830749955,3340749.032961575,1590758.623424449,849077.2232829637,599700.8290318392,1217755.4731474007,809657.2588491194,428723.65877801145,310314.2996842932,104135.85660880788,79018.61591220902,43282.19896908759,30812.42317087134,166503.86399154743,123309.89880135863,68408.48846589933,48549.874041260424,28774.224409318562,19437.977210411023,10094.488177353493,8071.4803763752,195278.088400866,142747.87601176967,78502.97664325283,56621.35441763563
Colorado,60351.90836262385,35001.508439845304,31255.268284247762,18597.490114363176,20572.62419230761,16102.960172796642,13701.524700587775,8427.775120621012,2126.113906744385,1892.7600134163984,1892.7600134163984,908.9105131642597,3135.3413484880334,2776.7635330030375,2743.012453007264,1317.978695877689,456.0060585010198,242.365408568872,242.365408568872,46.35179003964394,3591.347406989053,3019.1289415719093,2985.377861576136,1364.3304859173334,84322.58284348044,51909.598462022666,43869.84598551682,28450.62769740501,31878.767198071426,25339.40928898259,20272.602021099083,12087.085246177796,2780.961676532434,2099.0162728444607,1728.718245898188,1237.9106307269092,4237.03285324049,3197.9054269069848,2679.7872466903327,1493.3791178606932,550.6960558160583,286.55486410315234,108.22289199158469,108.22289199158469,4787.72890905655,3484.4602910101376,2788.010138681918,1601.602009852278,180481.7698485751,116236.44168638937,88528.62468445973,57549.879343961664,72856.3725795132,61206.020180935404,46743.968907939845,30770.557064868062,8488.60630979957,7213.170303521577,6206.197949780459,4369.735472771661,14682.562893519244,12840.588567573817,11115.45558276887,7217.88538075579,1394.6705560950247,908.7049675789704,212.76491041435088,73.25636969271171,16077.233449614268,13749.29353515279,11328.22049318322,7291.141750448502,177701.0714313441,110236.7512595348,15835.833674277508,10243.237521132278,72263.91716441825,56966.032567069975,8016.230912172057,5071.459429894973,4899.626905175992,4066.5852694704868,766.6116513427778,523.6236362716111,8340.600323736811,7106.803520004876,1187.071228409131,687.49515540621735,2645.7338180630522,2455.4206686461175,257.0687805914693,177.84352280928664,10986.334141799864,9562.224188650995,1444.1400090006002,865.338678215504,502857.3324860234,313384.29984779214,179489.57262850183,114841.23467686212,197571.68113431046,159614.4222097846,88734.32654179876,56356.87686156185,18295.30879825238,15271.531859252924,10594.287860437822,7040.18025293444,30395.53741898458,25922.061047488718,17725.3265108756,10716.738349900392,5047.106488475157,3893.045908897112,820.4219915662768,405.674574533227,35442.64390745974,29815.106956385825,18545.748502441875,11122.412924433616
Connecticut,34372.77579840846,19265.014008800674,17072.31365499174,10654.25581430805,11987.045433372328,9782.63562506873,8506.275201827042,6090.3570556055665,1655.4744093747693,1414.9920612258388,1414.9920612258388,967.4282152415685,2150.2491659983525,1807.2896173478575,1656.452297440065,1208.888451455795,740.3030102141329,602.5930806454749,602.5930806454749,403.69534737880764,2890.552176212486,2409.882697993332,2259.04537808554,1612.5837988346025,48439.1659521172,30558.717976773423,27457.16519355862,16165.977284259128,18348.10940184155,14991.18652411187,13734.38470361994,8984.88661378673,1779.8232645255052,1504.4795504249428,1218.5987713287443,850.1605564973692,2024.490709802061,1646.6697951999345,1286.3544713822405,917.9162565508656,586.4988429760921,500.07206955771767,410.0149317254406,277.8654231577179,2610.989552778153,2146.741864757652,1696.369403107681,1195.7816797085836,98068.67060871338,61858.334835516915,48007.697342916326,32342.584657302767,39553.21003805305,33552.73955977358,26213.50466492691,19289.188556885725,3926.1489902539574,3790.705036778098,2490.355899048178,1837.7703381621825,5835.477560660078,5527.195558681207,3643.470733554857,2613.813649884358,2637.3132707141726,2255.6271669239727,1500.9515364728838,1033.2065166319035,8472.790831374252,7782.82272560518,5144.422270027741,3647.0201665162617,97120.04925544026,62824.05762589119,9616.05243972265,6737.476919060424,39885.89158022566,32707.148746426323,5427.8396490682635,3914.8659852911114,4243.823685556991,3518.087063364614,825.5313544229493,718.7537540495802,6508.6465296931365,5677.304377263891,1075.55974622097,822.5515974456649,2278.4711606139344,1940.8980463498524,148.02074672536182,87.89093638565598,8787.117690307072,7618.202423613743,1223.580492946332,910.4425338313209,278000.6616146793,174506.1244469822,102153.22863118934,65900.29467493037,109774.25645349259,91033.7104553805,53882.00421944216,38279.29821156913,11605.270349711223,10228.263711793494,5949.478086025711,4374.112863950701,16518.86396615363,14658.45934849289,7661.837248598133,5563.169955336683,6242.586284518332,5299.190363477017,2661.580295569161,1802.658223554085,22761.450250671962,19957.64971196991,10323.417544167294,7365.828178890768
Delaware,11529.401499603415,6404.93116710026,5704.039052833512,4470.4340862312865,4948.087245692386,3434.3104591620145,3090.7925095531255,2387.3217294907445,756.2731011301443,612.1086497084073,525.0456634959907,399.85921133208205,959.8512233901332,741.9350436414995,654.8720574290829,476.8914669572343,140.12782247498077,47.46513367050147,47.46513367050147,11.798449649924422,1099.9790458651141,789.4001773120011,702.3371910995844,488.68991660715875,12937.925601616746,7783.9076435575935,6514.138763978488,5094.907676797279,5547.223502074492,4188.987956717463,3491.622311074262,2693.8957525065225,534.0854387007578,463.75132785898836,377.91383059609683,236.96568725324113,841.4428861567587,705.559200242059,596.5012082178846,446.8564274127462,283.24500532744,156.10672683147845,126.02723234466127,50.72185920925468,1124.6878914841989,861.6659270735374,722.5284405625458,497.5782866220008,27585.142347322308,16187.511135404939,12244.494341448928,9852.443789264169,13071.360548387862,9828.664321587921,7285.377161062909,5954.398949372659,1373.297458531971,1033.954056629519,739.3739266961963,566.3889770606958,1962.5105620373122,1542.7310429420977,1130.5067966329948,918.3344927541569,351.3046395629367,253.1060024196683,108.15731246481137,52.28375515495612,2313.8152016002487,1795.8370453617658,1238.664109097806,970.618247909113,26045.489787818846,16179.086998646471,2908.242288552716,2265.737618282106,12003.590022083547,9076.205877162187,1602.8582493107508,1300.9084573583611,1067.792510834714,809.4312403221361,233.0853834491312,156.6364318197163,1604.3335899665644,1215.0610493993404,307.35633169824695,223.64886505886335,677.4243959034179,590.7669470104374,18.019906038283644,0,2281.7579858699823,1805.827996409778,325.37623773653064,223.64886505886335,78097.95923636132,46555.43694470926,27370.914446813644,21683.52317057484,35570.26131823829,26528.168614629587,15470.650231001047,12336.524888728289,3731.448509197587,2919.245274519051,1875.4188042374149,1359.8503074657351,5368.138261550767,4205.286336224996,2689.236393978209,2065.731252183001,1452.1018632687756,1047.4448099320857,299.66958451825775,114.80406401413524,6820.240124819544,5252.731146157083,2988.9059784964666,2180.5353161971357
District of Columbia,9106.447281211498,5600.665705789848,5327.830036535042,4153.388510173718,3882.1948389398613,3149.891955013307,2985.244824960515,2508.1190070440466,119.2110465046293,71.55504827191947,66.4583360327249,51.50374636536278,188.58845258963945,140.93245435692964,128.34503687335413,98.51219322757402,58.43327935685593,58.43327935685593,32.421233507550085,32.421233507550085,247.02173194649535,199.36573371378557,160.7662703809042,130.9334267351241,8796.373120489843,5312.675982041484,4771.532618567982,3833.265917170942,3842.2663705626005,2949.5724422896633,2753.1208522399247,2355.635923533438,201.43986302359897,194.99505638782142,187.6186048983544,160.39480992824807,295.84314599116186,270.30358775317956,262.9271362637125,224.89544158861017,29.742338557353822,6.333690999824701,6.333690999824701,6.333690999824701,325.5854845485157,276.6372787530043,269.26082726353724,231.22913258843488,15466.957250615935,9295.246270934273,7535.945382526236,5835.960972561454,6836.030598043686,5190.723756849012,4246.384897426171,3483.9501894110203,490.7812560982212,357.0589224681079,340.766072678528,292.70574700357184,769.8906630767879,541.7893872131601,504.39175265167466,426.74295921672757,129.2160181307935,46.289037313698365,5.799325892863107,5.799325892863107,899.1066812075813,588.0784245268585,510.1910785445377,432.54228510959064,11949.60532681218,6968.621116500368,1011.3938748688805,732.6341143537705,5274.942999930803,3968.6165580640973,538.7849419839109,400.27655862959233,250.727861701651,160.17020395058154,51.31862147984941,44.86729566538426,416.34318471342806,262.1081491567291,74.13389828422544,67.68257246976029,136.25056749703396,102.22672294125087,0,0,552.5937522104621,364.33487209798,74.13389828422544,67.68257246976029,45319.382979129456,27177.209075265975,18646.70191249814,14555.249514259884,19835.434807476955,15258.80471221608,10523.53551661052,8747.981678618096,1062.1600273281003,783.7792310784303,646.1616350894568,549.471598962567,1670.6654463710174,1215.1335784799987,969.7978240729667,817.833166502672,353.64220354203724,213.28273061162986,44.5542504002379,44.5542504002379,2024.3076499130548,1428.4163090916284,1014.3520744732047,862.38741690291
Florida,216327.7451274672,102335.13990590986,91766.46155777945,65590.54277754747,74073.04686017266,52810.999444446534,48150.97349751778,34794.436373260076,8178.819411248773,6870.983927532777,6809.52940061631,5107.529978000574,13117.531062785578,11435.117175558109,10970.336905068847,7191.596816831204,3198.7983774104705,2242.449035751312,1989.6195047494266,1602.8644523446671,16316.329440196048,13677.56621130942,12959.956409818271,8794.461269175872,267443.0124233494,141001.18513272752,122758.33219466032,90403.84524822806,101248.01789512053,74635.28140614851,67002.68220819376,50674.68073522976,13119.508638425456,10488.060970580073,9011.98285841943,6545.0955240050625,19275.78146691261,15655.492440453834,13699.558936534853,10385.215306967877,3952.477006310871,3339.686051831464,2813.660465037937,1999.8121569657796,23228.258473223483,18995.1784922853,16513.21940157279,12385.027463933657,570875.4890407968,320537.58152082114,243092.40167748585,189499.00100300924,221532.49718830662,165642.49989263297,125208.344865916,100694.49686294577,26597.65730769619,21103.490929721615,16877.43983569918,13219.333714118527,39712.95230023631,32708.494807199542,26730.519117783933,21237.11429314517,11070.46007551671,8657.608983255737,7131.573935019223,6222.17328081616,50783.412375753025,41366.10379045528,33862.09305280315,27459.287573961334,599405.7517863757,338621.5721667709,48844.19820735522,37034.469498244296,233715.3327459661,174952.04286964162,25579.12063806568,19683.761881544047,23040.605035285105,18373.93206973307,3045.023857794657,2592.41291338481,37477.50331787142,30885.621295917743,4816.27698620602,4218.961258738807,7895.280886014664,4928.536031720546,521.7978036862992,423.37857552351204,45372.78420388608,35814.1573276383,5338.07478989232,4642.339834262319,1654051.9983779888,902495.4787262295,506461.39363728085,382527.85852702905,630568.8946895659,468040.8236128696,265941.1212096932,205847.37585297966,70936.59039265552,56836.467897567534,35743.97595252958,27464.372129508978,109583.76814780592,90684.72571912923,56216.69194559365,43032.887675683065,26117.01634525272,19168.28010255906,12456.651708492886,10248.22846565012,135700.78449305863,109853.00582168828,68673.34365408655,53281.11614133318
