county,state_name,name
01097,Alabama,Mobile
01081,Alabama,Lee
01003,Alabama,Baldwin
04019,Arizona,Pima
04013,Arizona,Maricopa
04021,Arizona,Pinal
04025,Arizona,Yavapai
04027,Arizona,Yuma
06099,California,Stanislaus
06111,California,Ventura
06107,California,Tulare
06053,California,Monterey
06095,California,Solano
06083,California,Santa Barbara
06067,California,Sacramento
06081,California,San Mateo
06029,California,Kern
06001,California,Alameda
06077,California,San Joaquin
06059,California,Orange
06075,California,San Francisco
06097,California,Sonoma
06073,California,San Diego
06019,California,Fresno
06037,California,Los Angeles
06087,California,Santa Cruz
06061,California,Placer
06113,California,Yolo
06017,California,El Dorado
06089,California,Shasta
06031,California,Kings
06007,California,Butte
06079,California,San Luis Obispo
08031,Colorado,Denver
08059,Colorado,Jefferson
08069,Colorado,Larimer
08013,Colorado,Boulder
08123,Colorado,Weld
09001,Connecticut,Fairfield
09009,Connecticut,New Haven
09015,Connecticut,Windham
09005,Connecticut,Litchfield
10005,Delaware,Sussex
10001,Delaware,Kent
10003,Delaware,New Castle
11001,District of Columbia,District of Columbia
12011,Florida,Broward
12086,Florida,Miami-Dade
12103,Florida,Pinellas
12009,Florida,Brevard
12111,Florida,St. Lucie
12057,Florida,Hillsborough
12071,Florida,Lee
12095,Florida,Orange
12099,Florida,Palm Beach
12105,Florida,Polk
12033,Florida,Escambia
12053,Florida,Hernando
12069,Florida,Lake
12113,Florida,Santa Rosa
12019,Florida,Clay
12085,Florida,Martin
12101,Florida,Pasco
12109,Florida,St. Johns
12083,Florida,Marion
12021,Florida,Collier
12005,Florida,Bay
13057,Georgia,Cherokee
13223,Georgia,Paulding
13045,Georgia,Carroll
13113,Georgia,Fayette
13097,Georgia,Douglas
13151,Georgia,Henry
13077,Georgia,Coweta
13015,Georgia,Bartow
13117,Georgia,Forsyth
13063,Georgia,Clayton
13135,Georgia,Gwinnett
13139,Georgia,Hall
15003,Hawaii,Honolulu
17119,Illinois,Madison
17111,Illinois,McHenry
17179,Illinois,Tazewell
17163,Illinois,St. Clair
17097,Illinois,Lake
18141,Indiana,St. Joseph
18019,Indiana,Clark
18081,Indiana,Johnson
18063,Indiana,Hendricks
18089,Indiana,Lake
18105,Indiana,Monroe
18039,Indiana,Elkhart
19103,Iowa,Johnson
19163,Iowa,Scott
19113,Iowa,Linn
20173,Kansas,Sedgwick
20091,Kansas,Johnson
21111,Kentucky,Jefferson
21067,Kentucky,Fayette
21117,Kentucky,Kenton
21015,Kentucky,Boone
22033,Louisiana,East Baton Rouge
22051,Louisiana,Jefferson
22071,Louisiana,Orleans
22103,Louisiana,St. Tammany
22005,Louisiana,Ascension
22063,Louisiana,Livingston
22073,Louisiana,Ouachita
23011,Maine,Kennebec
23019,Maine,Penobscot
23005,Maine,Cumberland
23001,Maine,Androscoggin
24510,Maryland,Baltimore
24031,Maryland,Montgomery
24033,Maryland,Prince George's
24017,Maryland,Charles
24025,Maryland,Harford
24003,Maryland,Anne Arundel
24013,Maryland,Carroll
24015,Maryland,Cecil
25027,Massachusetts,Worcester
25017,Massachusetts,Middlesex
25013,Massachusetts,Hampden
25025,Massachusetts,Suffolk
25023,Massachusetts,Plymouth
25021,Massachusetts,Norfolk
25009,Massachusetts,Essex
25005,Massachusetts,Bristol
25015,Massachusetts,Hampshire
25001,Massachusetts,Barnstable
26081,Michigan,Kent
26099,Michigan,Macomb
26125,Michigan,Oakland
26161,Michigan,Washtenaw
26163,Michigan,Wayne
26049,Michigan,Genesee
26093,Michigan,Livingston
26005,Michigan,Allegan
26075,Michigan,Jackson
26121,Michigan,Muskegon
26115,Michigan,Monroe
26145,Michigan,Saginaw
26025,Michigan,Calhoun
26021,Michigan,Berrien
27123,Minnesota,Ramsey
27171,Minnesota,Wright
27003,Minnesota,Anoka
27139,Minnesota,Scott
27163,Minnesota,Washington
29071,Missouri,Franklin
29189,Missouri,St. Louis
29099,Missouri,Jefferson
30111,Montana,Yellowstone
31055,Nebraska,Douglas
32003,Nevada,Clark
33011,New Hampshire,Hillsborough
33017,New Hampshire,Strafford
33015,New Hampshire,Rockingham
33013,New Hampshire,Merrimack
34017,New Jersey,Hudson
34013,New Jersey,Essex
34027,New Jersey,Morris
34023,New Jersey,Middlesex
34031,New Jersey,Passaic
34003,New Jersey,Bergen
34005,New Jersey,Burlington
34035,New Jersey,Somerset
34037,New Jersey,Sussex
34019,New Jersey,Hunterdon
34039,New Jersey,Union
34007,New Jersey,Camden
34021,New Jersey,Mercer
